Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Latitude,Longitude,Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Emergency Level,Equipment or component involved,Repair type,Repair date,Equipment or component has never been inspected,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type
Serious Injury (CER or TSB),8/15/2019,Edson,Alberta,NOVA Gas Transmission Ltd.,53.88869,-117.11462,Not Applicable,Not Applicable,Yes,2019,2019/08/14 05:10:00 PM Mountain,2019/08/15 07:00:00 AM Mountain,"Substandard Acts, Failing to use PPE properly;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Substandard Conditions, Defective tools, equipment or materials","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate leadership and/or supervision, Improper or insufficient delegation;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks","Human Factors, Inadequate Supervision, Tools and Equipment",Construction,Employee / Contractor (Onsite),1/20/2020,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,No,No,Yes,No,Not Emergency,,,,No,,No,No,,
"Release of Substance, Adverse Environmental Effects",8/17/2019,Blue River,British Columbia,Trans Mountain Pipeline ULC,52.0652,-119.31508,Drilling Fluid,Miscellaneous,Yes,2019,2019/08/17 03:00:00 PM Pacific,2019/08/17 03:10:00 PM Pacific,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate information or data","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks",Tools and Equipment,Maintenance,Scheduled Patrol,1/27/2020,No,No,"Adverse Environmental Effects, Release of Substance",Drilling Fluid,74,No,No,,,,,,,Canada,No,No,No,Yes,Not Emergency,,,,No,,No,No,,
Fire,8/28/2019,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",58.66,-122.69,Not Applicable,Not Applicable,No,2019,2019/08/27 02:45:00 PM Pacific,2019/08/27 02:45:00 PM Pacific,"Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Conditions, Defective tools, equipment or materials","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures",Maintenance,Employee / Contractor (Onsite),11/25/2019,No,No,Fire,,,,No,,Under Investigation or Unknown,,,,,Canada,Yes,No,No,No,Not Emergency,,,,No,,No,No,,
Operation Beyond Design Limits,8/30/2019,Ramore,Ontario,TransCanada PipeLines Limited,48.443855,-80.347784,Not Applicable,Not Applicable,No,2019,,2019/08/30 12:00:00 PM Eastern,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion",Natural Force Damage,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,Employee / Contractor (Onsite),2/28/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,Yes,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,,No,No,,
Release of Substance,9/2/2019,Rapid City,Manitoba,TransCanada Keystone Pipeline GP Ltd.,50.07461053,-100.0003615,Crude Oil - Sweet,Liquid,No,2019,,2019/09/01 03:30:00 PM Central,"Damage or deterioration mechanism, Material Loss, Internal Material Loss;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Corrosion and Cracking, Equipment Failure","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs","Engineering and Planning, Maintenance, Standards and Procedures",Operation,Employee / Contractor (Onsite),,Yes,No,Release of Substance,Crude Oil - Sweet,50,No,Yes,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Compression, Valve, Ball, Ball;Station/Facility, Compression, Valve, Ball, Other (please explain)",,,Yes,,No,Yes,,
Fire,9/8/2019,"Edson, AB",Alberta,Trans Mountain Pipeline ULC,53.57580147,-116.6475544,Not Applicable,Not Applicable,No,2019,2019/09/07 02:15:00 PM Mountain,2019/09/07 02:15:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Conditions, Defective tools, equipment or materials","Equipment Failure, External Interference","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Employee / Contractor (Onsite),1/20/2020,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Not Emergency,,,,No,,No,No,,
Fire,9/11/2019,"Crossfield, AB",Alberta,NOVA Gas Transmission Ltd.,51.40375331,-114.0339696,Not Applicable,Not Applicable,No,2019,,2019/09/06 08:00:00 AM Mountain,"Substandard Conditions, Fire and explosion hazards;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure, External Interference","Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),4/9/2020,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Not Emergency,,,,No,,No,No,,
Operation Beyond Design Limits,9/25/2019,Glenavon,Saskatchewan,Enbridge Pipelines Inc.,50.183454,-103.1616,Not Applicable,Not Applicable,No,2019,2019/09/20 09:40:00 AM Mountain,2019/09/24 05:30:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,Operation,Employee / Contractor (Onsite),4/14/2020,No,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,No,No,Not Emergency,,,,No,,No,No,,
Operation Beyond Design Limits,9/26/2019,Toronto,Ontario,Trans-Northern Pipelines Inc.,43.76842553,-79.48533571,Not Applicable,Not Applicable,No,2019,2019/09/26 07:47:00 AM Eastern,2019/09/26 07:47:00 AM Eastern,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate guards or barriers","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Inadequate communications, Inadequate communication between different organizations;External Interference, Third Party Actions","Failure in communication, Tools and Equipment",Operation,SCADA,2/28/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Pressure regulating, Fitting;Station/Facility, Pumping, Valve, Pressure relief, Body",,,No,,No,No,5/1/2019,Testing of Functionality
Operation Beyond Design Limits,9/30/2019,"Branch Modular Home Park, Yellowhead County (2km East of site)",Alberta,Trans Mountain Pipeline ULC,53.57580147,-116.6475544,Not Applicable,Not Applicable,No,2019,2019/09/29 01:12:00 PM Mountain,2019/09/29 01:12:00 PM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Scouring;Substandard Conditions, Weather Related, Heavy rains or floods","External Interference, Natural Force Damage","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Maintenance,Inspection Site Visit,1/30/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,,No,Yes,,
Operation Beyond Design Limits,10/5/2019,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.5285191,-121.9602145,Not Applicable,Not Applicable,No,2019,,2019/10/04 11:00:00 AM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion",Natural Force Damage,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,Scheduled Patrol,1/30/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,,No,No,,
Release of Substance,10/9/2019,Edmonton,Alberta,Enbridge Pipelines Inc.,53.54740268,-113.3557137,Crude Oil - Synthetic,Liquid,No,2019,2019/10/08 07:26:00 AM Mountain,2019/10/08 09:30:00 AM Mountain,"Damage or deterioration mechanism, Material Loss, Internal Material Loss",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs","Maintenance, Standards and Procedures",Operation,Employee / Contractor (Onsite),3/25/2020,Yes,No,Release of Substance,Crude Oil - Synthetic,8,No,Yes,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Pipeline, Pipe, Girth weld;Pipeline, Fitting, Elbow, Weld",Replacement,6/30/2020,No,,No,No,,
Release of Substance,10/18/2019,"Sherwood Park, AB",Alberta,Trans Mountain Pipeline ULC,53.545709,-113.365488,Crude Oil - Sweet,Liquid,No,2019,2019/10/18 08:40:00 AM Mountain,2019/10/18 08:45:00 AM Mountain,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Human Factors, Standards and Procedures",Maintenance,Employee / Contractor (Onsite),2/19/2020,No,No,Release of Substance,Crude Oil - Sweet,2,No,No,,,,,,,Canada,Yes,No,No,No,Not Emergency,,,,No,,No,No,,
Release of Substance,10/18/2019,"Water Valley, AB",Alberta,NOVA Gas Transmission Ltd.,51.44418383,-114.5271075,Lube Oil,Liquid,No,2019,,2019/10/18 06:30:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Damage or deterioration mechanism, Other Causes, Unknown","Equipment Failure, Other Causes","Job or system factors, Inadequate purchasing, Improper transporting of materials",Inadequate Procurement,Construction,Employee / Contractor (Onsite),3/25/2020,Yes,No,Release of Substance,Lube Oil,3.18,No,No,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Compression, Auxiliary device(s) (please explain)",,,No,,No,No,,
Operation Beyond Design Limits,10/21/2019,"Wandering River, AB",Alberta,NOVA Gas Transmission Ltd.,54.993657,-112.523208,Not Applicable,Not Applicable,No,2019,,2019/10/20 01:00:00 PM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion",Natural Force Damage,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,Employee / Contractor (Onsite),2/28/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,Yes,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,Visual,Yes,Yes,,
Fire,10/23/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,53.7905953,-116.9528857,Not Applicable,Not Applicable,No,2019,,2019/10/23 08:00:00 AM Mountain,"Substandard Acts, Using defective equipment;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Defective tools, equipment or materials","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks",Tools and Equipment,Construction,Employee / Contractor (Onsite),2/19/2020,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,No,Yes,Yes,No,Not Emergency,,,,No,,No,No,,
Operation Beyond Design Limits,10/26/2019,"Elko, BC",British Columbia,Foothills Pipe Lines (South B.C.) Ltd.,49.29246,-115.18849,Not Applicable,Not Applicable,No,2019,,2019/10/25 03:30:00 PM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion",Natural Force Damage,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,Employee / Contractor (Onsite),3/25/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,Yes,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,Inline Inspection (ILI),Yes,Yes,,
Release of Substance,11/5/2019,"Edson, Alberta",Alberta,NOVA Gas Transmission Ltd.,53.198331,-116.194173,Natural Gas - Sweet,Gas,Yes,2019,,2019/11/04 11:26:00 AM Mountain,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",Maintenance,Employee / Contractor (Onsite),3/10/2021,Yes,No,Release of Substance,Natural Gas - Sweet,31775.96,Yes,No,,,,,,,Canada,No,No,Yes,No,Not Emergency,"Pipeline, Pipe, Body",Replacement,2/3/2020,No,Inline Inspection (ILI),Yes,No,2/3/2020,Replacement
Release of Substance,11/14/2019,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,52.64186166,-111.2642622,Crude Oil - Sweet,Liquid,No,2019,,2019/11/13 11:38:00 PM Mountain,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures",Operation,Employee / Contractor (Onsite),4/14/2020,Yes,No,Release of Substance,Crude Oil - Sweet,6,No,Yes,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Pumping, Pump;Station/Facility, Pumping, Prime mover",,,No,Visual,Yes,Yes,,
Serious Injury (CER or TSB),12/9/2019,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,53.780254,-116.629058,Not Applicable,Not Applicable,Yes,2019,2019/12/09 07:40:00 AM Mountain,2019/12/09 07:40:00 AM Mountain,"Substandard Conditions, Road conditions",External Interference,"Personal factors, Lack of knowledge, Lack of situational awareness;External Interference, Natural or Environmental Forces","Human Factors, Natural or Environmental Forces",Construction,Employee / Contractor (Onsite),5/14/2020,No,No,Serious Injury (CER or TSB),,,,No,,,,,Lost Consciousness,1,Canada,No,Yes,No,No,Not Emergency,,,,No,,No,No,,
Fire,12/15/2019,"Wonowon, BC",British Columbia,NOVA Gas Transmission Ltd.,56.966387,-122.083585,Not Applicable,Not Applicable,No,2019,2019/12/14 04:30:00 PM Mountain,2019/12/14 04:30:00 PM Mountain,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Construction,Employee / Contractor (Onsite),4/8/2020,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,No,Yes,Yes,No,Not Emergency,,,,No,,No,No,,
Operation Beyond Design Limits,12/18/2019,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,52.65031647,-111.268398,Not Applicable,Not Applicable,No,2019,2019/12/15 09:27:00 PM Mountain,2019/12/17 04:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Substandard Conditions, Inadequate warning system","Equipment Failure, External Interference","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,Operation,SCADA,5/25/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Pumping, Valve, Check, Body;Station/Facility, Pumping, Valve, Pressure relief, Body",,,No,Visual,Yes,No,11/15/2019,Recertification
Release of Substance,1/14/2020,Caron,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,50.48066052,-105.867038,Crude Oil - Sweet,Liquid,No,2020,2020/01/14 01:15:00 PM Central,2020/01/14 01:15:00 PM Central,"Substandard Conditions, Inadequate instructions or procedures;Substandard Conditions, Inadequate preparation or planning",External Interference,"Personal factors, Physical or physiological stress, Exposure to temperature extremes;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate maintenance, Inadequate reparative, Scheduling of work","Human Factors, Inadequate Supervision, Maintenance",Maintenance,Employee / Contractor (Onsite),7/23/2020,Yes,No,Release of Substance,Crude Oil - Sweet,29,No,Yes,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Pumping, Fitting, Other (please explain);Station/Facility, Pumping, Prime mover;Station/Facility, Pumping, Valve, Ball, Ball;Station/Facility, Pumping, Valve, Ball, Other (please explain)",,,No,,No,No,,
Operation Beyond Design Limits,1/17/2020,Saint Lazare,Quebec,Trans-Northern Pipelines Inc.,45.41329,-74.1119,Not Applicable,Not Applicable,No,2020,,2019/05/16 12:00:00 PM Eastern,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring;Substandard Conditions, Inadequate guards or barriers","External Interference, Natural Force Damage","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,Inspection Site Visit,5/12/2020,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,,No,No,,
Release of Substance,1/21/2020,Cactus Lake,Saskatchewan,Enbridge Pipelines Inc.,52.14173322,-109.8129918,Condensate,Liquid,No,2020,2020/01/20 09:51:00 AM Mountain,2020/01/20 09:51:00 AM Mountain,"Damage or deterioration mechanism, Cracking, Fatigue;Substandard Conditions, Defective tools, equipment or materials","Corrosion and Cracking, External Interference","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;External Interference, Natural or Environmental Forces","Maintenance, Natural or Environmental Forces",Operation,Employee / Contractor (Onsite),6/22/2020,Yes,No,Release of Substance,Condensate,26,No,No,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Pipeline, Fitting, Coupling, Thread",,,Yes,,No,Yes,,
Fire,1/26/2020,"Paddle Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,57.80784558,-118.099678,Not Applicable,Not Applicable,No,2020,2020/01/25 01:00:00 PM Mountain,2020/01/25 01:00:00 PM Mountain,"Substandard Conditions, Fire and explosion hazards",External Interference,"External Interference, Third Party Actions",To be determined,Maintenance,Employee / Contractor (Onsite),7/31/2020,Yes,No,Fire,,,,No,,Other Event (Nature or 3rd Party),,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Pigging, Receiving, Auxiliary device(s) (please explain);Vehicle / mobile equipment",,,Yes,,No,Yes,,
Fire,1/28/2020,Manning,Alberta,NOVA Gas Transmission Ltd.,57.12286944,-117.6319444,Not Applicable,Not Applicable,No,2020,2020/01/25 12:30:00 PM Mountain,2020/01/25 12:30:00 PM Mountain,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Construction,Employee / Contractor (Onsite),5/26/2020,No,No,Fire,,,,No,,Under Investigation or Unknown,,,,,Canada,Yes,No,No,No,Not Emergency,,,,No,,No,No,,
Serious Injury (CER or TSB),1/31/2020,"Quesnel, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",53.72092225,-122.6079215,Not Applicable,Not Applicable,Yes,2020,2020/01/30 11:08:00 AM Pacific,2020/01/30 11:08:00 AM Pacific,"Substandard Conditions, Weather Related, Adverse weather;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Road conditions","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate engineering, Inadequate or improper controls;External Interference, Natural or Environmental Forces","Engineering and Planning, Human Factors, Inadequate Supervision, Natural or Environmental Forces",Construction,Employee / Contractor (Onsite),7/6/2020,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,No,No,No,No,Not Emergency,,,,No,,No,No,,
Serious Injury (CER or TSB),1/31/2020,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",50.74934264,-120.8572452,Not Applicable,Not Applicable,Yes,2020,2020/01/06 06:55:00 AM Mountain,2020/01/06 07:05:00 AM Mountain,"Substandard Conditions, Weather Related, Adverse weather;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Poor housekeeping or disorder;Substandard Conditions, Inadequate instructions or procedures;Substandard Conditions, Road conditions","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Personal factors, Improper motivation, Inadequate reinforcement of proper behavior;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate communications, Inadequate communication of safety and health data, regulations or guidelines ;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules;External Interference, Natural or Environmental Forces","Failure in communication, Human Factors, Inadequate Supervision, Natural or Environmental Forces, Standards and Procedures",Operation,Employee / Contractor (Onsite),4/14/2020,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,No,No,No,No,Not Emergency,,,,No,,No,No,,
Release of Substance,2/2/2020,Dartmouth Industrial Park,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,44.71527257,-63.59037083,Natural Gas - Sweet,Gas,No,2020,2020/02/02 01:13:00 AM Atlantic,2020/02/02 01:13:00 AM Atlantic,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Substandard Conditions, Weather Related, Frozen components","Equipment Failure, External Interference","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Operation,3rd Party / Other Company,4/14/2020,Yes,No,Release of Substance,Natural Gas - Sweet,2.13,No,No,,,,,,,Canada,No,No,No,No,Not Emergency,"Pipeline, Valve, Pressure relief, Seat;Pipeline, Instrumentation and controls",,,No,,No,No,,
Serious Injury (CER or TSB),2/4/2020,Fort St. John,British Columbia,NOVA Gas Transmission Ltd.,56.894,-122.14,Not Applicable,Not Applicable,Yes,2020,2020/02/03 01:50:00 PM Mountain,2020/02/03 01:50:00 PM Mountain,"Substandard Conditions, Inadequate preparation or planning",External Interference,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,Construction,Employee / Contractor (Onsite),7/6/2020,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,No,Yes,Yes,No,Not Emergency,,,,No,,No,No,,
Fire,2/4/2020,Hinton ,Alberta,NOVA Gas Transmission Ltd.,54.01,-117.37,Not Applicable,Not Applicable,No,2020,2020/02/04 08:40:00 PM Mountain,2020/02/04 08:40:00 PM Mountain,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;External Interference, Natural or Environmental Forces","Human Factors, Natural or Environmental Forces, Tools and Equipment",Construction,Employee / Contractor (Onsite),5/4/2020,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,No,No,Yes,No,Not Emergency,,,,No,,No,No,,
Release of Substance,2/7/2020,Edson ,Alberta,NOVA Gas Transmission Ltd.,53.198483,-116.192766,Natural Gas - Sweet,Gas,No,2020,,2020/02/07 10:30:00 AM Mountain,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",Maintenance,Employee / Contractor (Onsite),3/10/2021,Yes,No,Release of Substance,Natural Gas - Sweet,0.1,Yes,No,,,,,,,Canada,No,No,Yes,No,Not Emergency,"Pipeline, Pipe, Body",,,No,Inline Inspection (ILI),Yes,Yes,,
Release of Substance,2/14/2020,"Daysland, AB",Alberta,NOVA Gas Transmission Ltd.,52.98812718,-112.1913827,Natural Gas - Sweet,Gas,No,2020,2020/02/13 05:00:00 PM Mountain,2020/02/13 05:00:00 PM Mountain,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Holidays;Damage or deterioration mechanism, Material Loss, External Material Loss, External Metal Loss on Uncoated Pipe",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),5/25/2020,Yes,No,Release of Substance,Natural Gas - Sweet,22702,No,No,,,,,,,Canada,Yes,No,No,No,Not Emergency,"Station/Facility, Compression, Piping, Body",Replacement,2/14/2020,No,Visual,Yes,Yes,,
Fire,2/14/2020,Edson,Alberta,Trans Mountain Pipeline ULC,53.57580147,-116.6475544,Not Applicable,Not Applicable,No,2020,2020/02/14 02:30:00 PM Mountain,2020/02/14 02:45:00 PM Mountain,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,Construction,Employee / Contractor (Onsite),4/3/2020,No,No,Fire,,,,Yes,,Equipment & Electrical,,,,,Canada,No,No,Yes,No,Not Emergency,,,,No,,No,No,,
Explosion,2/20/2020,Norquay,Saskatchewan,Many Islands Pipe Lines (Canada) Limited,51.868,-101.779,Not Applicable,Not Applicable,Yes,2020,2020/02/20 11:15:00 AM Central,2020/02/20 11:15:00 AM Central,"Substandard Conditions, Weather Related, Temperature Extremes;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Defective tools, equipment or materials;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Physical or physiological stress, Exposure to temperature extremes;Personal factors, Lack of knowledge, Inadequate initial training;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate work standards, Inadequate communication of standards, Training","Human Factors, Inadequate Supervision, Maintenance, Standards and Procedures",Construction,Employee / Contractor (Onsite),8/4/2020,No,No,Explosion,,,,No,Battery Explosion,,,,,,Canada,No,No,Yes,No,Not Emergency,,,,No,,No,No,,
Fire,2/23/2020,"Upsala, ON",Ontario,TransCanada PipeLines Limited,49.01063,-90.43433,Not Applicable,Not Applicable,No,2020,2020/02/23 10:30:00 AM Eastern,2020/02/23 10:30:00 AM Eastern,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Maintenance,Employee / Contractor (Onsite),5/27/2020,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,No,Yes,Yes,No,Not Emergency,,,,No,,No,No,,
